City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,32.16,99,100,3.85,snow
1,Ushuaia,AR,-54.8,-68.3,48.09,73,100,5.44,light rain
2,Avarua,CK,-21.2078,-159.775,69.85,100,40,1.14,scattered clouds
3,Rikitea,PF,-23.1203,-134.9692,73.31,73,98,15.28,overcast clouds
4,San Jose,US,37.3394,-121.895,64.69,67,1,0.0,mist
5,Ancud,CL,-41.8697,-73.8203,61.43,68,97,13.91,light rain
6,Boddam,GB,57.4667,-1.7833,52.18,89,100,25.43,overcast clouds
7,Lazurne,UA,46.084,32.5295,48.45,74,97,16.17,overcast clouds
8,Thompson,CA,55.7435,-97.8558,21.27,88,73,5.84,broken clouds
9,Mataura,NZ,-46.1927,168.8643,48.02,99,98,2.35,overcast clouds
10,Jamestown,US,42.097,-79.2353,37.09,78,90,8.01,overcast clouds
11,Albany,US,42.6001,-73.9662,47.44,65,76,1.99,broken clouds
12,Ugoofaaru,MV,5.6667,73.0,81.86,79,100,20.09,overcast clouds
13,Atuona,PF,-9.8,-139.0333,77.34,74,13,16.73,few clouds
14,Souillac,MU,-20.5167,57.5167,77.36,68,29,12.08,scattered clouds
15,Northam,GB,51.0333,-4.2167,56.01,75,100,2.44,overcast clouds
16,San Carlos,VE,9.6612,-68.5827,90.75,48,63,3.13,broken clouds
17,Zhigansk,RU,66.7697,123.3711,-23.13,99,88,7.76,overcast clouds
18,Chokurdakh,RU,70.6333,147.9167,0.91,96,100,7.02,overcast clouds
19,Gillette,US,44.2911,-105.5022,41.23,67,100,10.0,overcast clouds
20,Busselton,AU,-33.65,115.3333,58.05,66,98,19.91,overcast clouds
21,Novaya Lyalya,RU,59.055,60.599,11.5,93,13,4.03,few clouds
22,Pevek,RU,69.7008,170.3133,15.17,95,100,1.52,light snow
23,Yellowknife,CA,62.456,-114.3525,15.57,100,57,10.0,broken clouds
24,Tiksi,RU,71.6872,128.8694,-14.21,98,83,7.0,broken clouds
25,Khatanga,RU,71.9667,102.5,-6.83,97,100,4.16,overcast clouds
26,Sebrovo,RU,50.0981,43.2976,39.25,58,99,4.65,overcast clouds
27,Bengkulu,ID,-3.8004,102.2655,75.99,89,100,3.31,moderate rain
28,Shahr-E Babak,IR,30.1165,55.1186,52.14,33,6,5.84,clear sky
29,Asfi,MA,32.2994,-9.2372,66.79,66,0,10.58,clear sky
30,Vao,NC,-22.6667,167.4833,75.45,82,2,7.25,clear sky
31,Hithadhoo,MV,-0.6,73.0833,82.11,75,41,8.86,scattered clouds
32,Hermanus,ZA,-34.4187,19.2345,75.79,69,96,8.84,overcast clouds
33,Vaini,TO,-21.2,-175.2,69.96,88,20,5.75,few clouds
34,Alekseyevka,RU,50.6309,38.6903,37.42,68,100,2.08,overcast clouds
35,Puerto Escondido,MX,15.85,-97.0667,83.82,43,16,2.04,few clouds
36,Puri,IN,19.8,85.85,75.72,88,34,10.47,scattered clouds
37,Mount Gambier,AU,-37.8333,140.7667,48.92,76,100,14.32,overcast clouds
38,Norman Wells,CA,65.282,-126.8329,11.77,93,100,7.99,overcast clouds
39,Bredasdorp,ZA,-34.5322,20.0403,75.27,57,92,10.83,overcast clouds
40,Kruisfontein,ZA,-34.0033,24.7314,67.89,68,91,8.52,overcast clouds
41,Dikson,RU,73.5069,80.5464,-1.26,96,100,8.01,overcast clouds
42,Brae,GB,60.3964,-1.353,51.71,85,100,28.19,overcast clouds
43,Srednekolymsk,RU,67.45,153.6833,5.09,97,100,4.45,overcast clouds
44,Cape Town,ZA,-33.9258,18.4232,75.11,53,97,12.21,overcast clouds
45,Faanui,PF,-16.4833,-151.75,73.92,89,100,8.84,moderate rain
46,Tiarei,PF,-17.5333,-149.3333,73.42,64,100,5.32,overcast clouds
47,Nioro,GM,13.35,-15.75,92.44,26,100,4.79,overcast clouds
48,Barrow,US,71.2906,-156.7887,21.22,79,90,17.27,light snow
49,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,85.41,61,100,5.61,very heavy rain
50,Copiapo,CL,-27.3667,-70.3333,80.94,24,0,8.23,clear sky
51,Clyde River,CA,70.4692,-68.5914,5.23,78,40,5.64,scattered clouds
52,Solnechnyy,RU,50.7214,136.6319,13.89,86,7,3.09,clear sky
53,Necochea,AR,-38.5473,-58.7368,67.03,50,0,20.78,clear sky
54,Qaanaaq,GL,77.484,-69.3632,-12.12,57,0,9.01,clear sky
55,Adrar,MR,20.5022,-10.0711,88.18,24,6,5.48,clear sky
56,Lebu,CL,-37.6167,-73.65,57.4,64,87,6.98,overcast clouds
57,Ixtapa,MX,20.7,-105.2,80.22,65,100,1.01,overcast clouds
58,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,53,40,11.5,scattered clouds
59,Nabire,ID,-3.3667,135.4833,74.03,95,100,3.33,overcast clouds
60,Sorland,NO,67.667,12.6934,40.86,69,100,17.74,overcast clouds
61,El Cobre,CU,20.0489,-75.9469,85.71,54,100,1.86,overcast clouds
62,Baykit,RU,61.67,96.37,18.37,97,100,2.86,light snow
63,New Norfolk,AU,-42.7826,147.0587,40.5,74,95,5.53,overcast clouds
64,Paita,PE,-5.0892,-81.1144,70.02,68,31,10.18,scattered clouds
65,Iqaluit,CA,63.7506,-68.5145,6.53,71,75,5.01,light snow
66,Constitucion,CL,-35.3333,-72.4167,62.83,49,45,19.06,scattered clouds
67,Kirakira,SB,-10.4544,161.9205,79.9,83,39,5.91,scattered clouds
68,Port Alfred,ZA,-33.5906,26.891,67.55,74,98,10.02,overcast clouds
69,Hilo,US,19.7297,-155.09,81.28,95,90,0.0,light rain
70,Victoria,HK,22.2855,114.1577,71.58,74,33,4.0,scattered clouds
71,Severo-Kurilsk,RU,50.6789,156.125,37.08,73,72,7.67,broken clouds
72,Zhangye,CN,38.9342,100.4517,34.7,32,2,6.96,clear sky
73,Namibe,AO,-15.1961,12.1522,72.57,78,87,7.09,light rain
74,Chanasma,IN,23.7167,72.1167,73.49,26,1,6.42,clear sky
75,Lalitpur,NP,27.6667,85.3333,55.78,88,20,3.44,few clouds
76,Punta Arenas,CL,-53.15,-70.9167,46.51,57,75,35.68,broken clouds
77,Cururupu,BR,-1.8283,-44.8683,87.76,60,64,6.35,broken clouds
78,Meridian,US,43.6121,-116.3915,53.04,83,1,3.0,clear sky
79,Alamogordo,US,32.8995,-105.9603,71.44,28,0,4.92,clear sky
80,Kyren,RU,51.6828,102.1408,21.34,79,13,2.17,few clouds
81,Pasighat,IN,28.0667,95.3333,63.32,65,0,3.51,clear sky
82,Seydi,TM,39.4816,62.9137,46.54,68,29,10.2,scattered clouds
83,Haines Junction,CA,60.7522,-137.5108,9.39,90,85,2.37,overcast clouds
84,Kamenka,RU,51.3223,42.7678,37.13,68,100,3.85,overcast clouds
85,Golden,US,39.7555,-105.2211,60.1,30,95,3.56,overcast clouds
86,Ucluelet,CA,48.9329,-125.5528,50.31,93,100,1.01,overcast clouds
87,Kaitangata,NZ,-46.2817,169.8464,50.32,97,100,3.27,overcast clouds
88,Mar Del Plata,AR,-38.0023,-57.5575,66.87,72,0,13.0,clear sky
89,Abha,SA,18.2164,42.5053,61.05,67,0,4.61,clear sky
90,Enshi,CN,30.3,109.4833,52.52,70,95,0.72,overcast clouds
91,Ayagoz,KZ,47.9714,80.4392,34.16,94,100,17.92,light rain
92,Winslow,US,35.0242,-110.6974,41.18,48,1,5.75,clear sky
93,Cordoba,AR,-31.4135,-64.1811,77.59,27,0,5.75,clear sky
94,Wanning,CN,18.8003,110.3967,73.71,82,100,8.55,overcast clouds
95,Awbari,LY,26.5921,12.7805,77.02,22,35,8.34,scattered clouds
96,Kodiak,US,57.79,-152.4072,29.71,64,1,14.97,clear sky
97,Urumqi,CN,43.801,87.6005,29.35,64,4,2.24,smoke
98,Poum,NC,-20.2333,164.0167,78.8,80,34,5.99,scattered clouds
99,Faya,SA,18.3851,42.4509,61.32,51,2,4.45,clear sky
100,Masuguru,TZ,-11.3667,38.4167,90.99,31,68,8.84,broken clouds
101,Santa Rosa,PH,14.3122,121.1114,83.1,79,78,8.1,broken clouds
102,East London,ZA,-33.0153,27.9116,68.27,70,78,6.93,broken clouds
103,Montepuez,MZ,-13.1256,38.9997,84.33,40,54,12.77,broken clouds
104,Broome,US,42.2506,-75.833,43.18,69,90,3.0,overcast clouds
105,Micheweni,TZ,-4.9667,39.8333,80.42,76,78,9.04,broken clouds
106,Solenzo,BF,12.1833,-4.0833,98.82,9,63,5.88,broken clouds
107,Upernavik,GL,72.7868,-56.1549,-0.2,83,3,6.73,clear sky
108,Kavaratti,IN,10.5669,72.642,79.72,84,100,15.82,overcast clouds
109,Lata,PT,40.1629,-8.3327,70.48,50,3,4.36,clear sky
110,Kapaa,US,22.0752,-159.319,73.38,72,1,1.01,clear sky
111,Lafiagi,NG,8.8667,5.4167,95.99,28,77,3.71,broken clouds
112,Saint-Philippe,RE,-21.3585,55.7679,78.39,78,27,13.53,scattered clouds
113,Tuatapere,NZ,-46.1333,167.6833,48.72,92,100,2.86,overcast clouds
114,Dingle,PH,10.9995,122.6711,75.99,93,79,6.78,broken clouds
115,Pacific Grove,US,36.6177,-121.9166,67.3,53,1,1.01,clear sky
116,Ust-Nera,RU,64.5667,143.2,4.42,98,100,2.55,overcast clouds
117,Santa Cruz,BO,-17.8,-63.1667,82.45,74,75,16.11,broken clouds
118,Port Elizabeth,ZA,-33.918,25.5701,70.11,75,94,8.81,overcast clouds
119,Bambous Virieux,MU,-20.3428,57.7575,77.22,67,92,14.12,overcast clouds
120,Akcaabat,TR,41.0212,39.5715,53.47,87,0,4.61,clear sky
121,Bluff,NZ,-46.6,168.3333,50.56,81,84,9.75,broken clouds
122,Provideniya,RU,64.3833,-173.3,22.08,95,100,6.98,overcast clouds
123,Hervey Bay,AU,-25.2986,152.8535,67.03,66,0,10.96,clear sky
124,Beyneu,KZ,45.3167,55.2,36.19,62,6,8.57,clear sky
125,Pantai Remis,MY,4.4557,100.6288,78.37,87,98,4.52,overcast clouds
126,Zhuhai,CN,22.2769,113.5678,71.31,68,0,10.36,clear sky
127,Saskylakh,RU,71.9167,114.0833,-13.67,92,99,8.08,overcast clouds
128,Jiuquan,CN,39.7432,98.5174,34.21,29,0,2.98,clear sky
129,Kuppam,IN,12.75,78.3667,70.68,97,100,1.41,overcast clouds
130,Malakal,SS,9.5334,31.6605,86.65,23,66,4.65,broken clouds
131,Nikolskoye,RU,59.7035,30.7861,33.03,85,6,5.82,clear sky
132,Bettiah,IN,26.8,84.5,69.03,49,1,3.04,clear sky
133,Cabo San Lucas,MX,22.8909,-109.9124,82.71,64,1,3.44,clear sky
134,Manggar,ID,-2.8833,108.2667,80.13,81,100,2.89,overcast clouds
135,Puerto Ayora,EC,-0.7393,-90.3518,75.16,76,95,8.43,overcast clouds
136,Havre-Saint-Pierre,CA,50.2334,-63.5986,36.07,78,100,13.82,overcast clouds
137,Ahipara,NZ,-35.1667,173.1667,62.47,93,29,12.77,scattered clouds
138,Mount Isa,AU,-20.7333,139.5,65.97,32,0,10.36,clear sky
139,Chota,PE,-6.55,-78.65,68.7,67,72,4.94,light rain
140,Isangel,VU,-19.55,169.2667,75.15,85,4,6.26,clear sky
141,Talnakh,RU,69.4865,88.3972,4.03,98,100,1.48,overcast clouds
142,Ilulissat,GL,69.2167,-51.1,8.62,66,40,8.05,scattered clouds
143,Krasnoarmeysk,RU,51.0239,45.6969,35.29,73,100,4.05,overcast clouds
144,Guadalajara,MX,20.6667,-103.3333,60.42,64,3,5.08,clear sky
145,Naryan-Mar,RU,67.6713,53.087,17.49,88,100,8.61,overcast clouds
146,Klaksvik,FO,62.2266,-6.589,50.92,84,100,27.58,overcast clouds
147,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,92,100,4.59,overcast clouds
148,Cidreira,BR,-30.1811,-50.2056,72.52,62,4,18.21,clear sky
149,Amahai,ID,-3.3333,128.9167,78.8,85,100,3.62,heavy intensity rain
150,Avera,US,33.194,-82.5271,55.71,37,0,6.44,clear sky
